"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","457","set real time and start animate","Notebook snapshots","Mon Jun 23 05:30:49 CEST 2025","passed","Mon Jun 23 05:30:49 CEST 2025","","","",""
"","1631","add sine wave generator inside overlay plot","Create modify and export overlay plot JPG file","Mon Jun 23 05:30:29 CEST 2025","passed","Mon Jun 23 05:30:31 CEST 2025","","","",""
"","255","remove sine wave generator","Sine wave generator basic flow","Mon Jun 23 05:31:04 CEST 2025","passed","Mon Jun 23 05:31:04 CEST 2025","","","",""
"","992","add state generator in my items","Notebook snapshots","Mon Jun 23 05:30:48 CEST 2025","passed","Mon Jun 23 05:30:49 CEST 2025","","","",""
"","360","remove state generator","Notebook snapshots","Mon Jun 23 05:30:50 CEST 2025","passed","Mon Jun 23 05:30:50 CEST 2025","","","",""
"","1660","add sine wave generator in my items","Sine wave generator basic flow","Mon Jun 23 05:31:02 CEST 2025","passed","Mon Jun 23 05:31:04 CEST 2025","","","",""
"","1729","modify look of overlay plot","Create modify and export overlay plot JPG file","Mon Jun 23 05:30:32 CEST 2025","passed","Mon Jun 23 05:30:33 CEST 2025","","","",""
"","926","add clock","Clock element basic flow","Mon Jun 23 05:30:22 CEST 2025","passed","Mon Jun 23 05:30:23 CEST 2025","","","",""
"","3328","visit dashboard","Version information","Mon Jun 23 05:30:13 CEST 2025","passed","Mon Jun 23 05:30:17 CEST 2025","","","",""
"","3800","visit dashboard","Camera screen","Mon Jun 23 05:30:04 CEST 2025","passed","Mon Jun 23 05:30:08 CEST 2025","","","",""
"","3197","visit dashboard","Sine wave generator basic flow","Mon Jun 23 05:30:59 CEST 2025","passed","Mon Jun 23 05:31:02 CEST 2025","","","",""
"","2444","export jpg file","Create modify and export overlay plot JPG file","Mon Jun 23 05:30:33 CEST 2025","passed","Mon Jun 23 05:30:36 CEST 2025","","","",""
"","166","browse panel","Hide and show UI panels","Mon Jun 23 05:30:42 CEST 2025","passed","Mon Jun 23 05:30:42 CEST 2025","","","",""
"","3350","visit dashboard","Notebook snapshots","Mon Jun 23 05:30:44 CEST 2025","passed","Mon Jun 23 05:30:48 CEST 2025","","","",""
"","1000","add state generator in my items","Telemetry table of state generator","Mon Jun 23 05:31:09 CEST 2025","passed","Mon Jun 23 05:31:10 CEST 2025","","","",""
"","439","set real time and start animate","Telemetry table of state generator","Mon Jun 23 05:31:10 CEST 2025","passed","Mon Jun 23 05:31:10 CEST 2025","","","",""
"","3214","visit dashboard","Create modify and export overlay plot JPG file","Mon Jun 23 05:30:25 CEST 2025","passed","Mon Jun 23 05:30:28 CEST 2025","","","",""
"","357","remove snapshot","Notebook snapshots","Mon Jun 23 05:30:50 CEST 2025","passed","Mon Jun 23 05:30:50 CEST 2025","","","",""
"","230","switches view to telemetry table of state generator","Telemetry table of state generator","Mon Jun 23 05:31:10 CEST 2025","passed","Mon Jun 23 05:31:11 CEST 2025","","","",""
"","3385","visit dashboard","Hide and show UI panels","Mon Jun 23 05:30:38 CEST 2025","passed","Mon Jun 23 05:30:42 CEST 2025","","","",""
"","3296","visit dashboard","Telemetry table of state generator","Mon Jun 23 05:31:05 CEST 2025","passed","Mon Jun 23 05:31:09 CEST 2025","","","",""
"","246","delete clock","Clock element basic flow","Mon Jun 23 05:30:23 CEST 2025","passed","Mon Jun 23 05:30:23 CEST 2025","","","",""
"","283","delete overlay plot and sine wave generator","Create modify and export overlay plot JPG file","Mon Jun 23 05:30:37 CEST 2025","passed","Mon Jun 23 05:30:37 CEST 2025","","","",""
"","248","delete clock","Notification verify","Mon Jun 23 05:30:57 CEST 2025","passed","Mon Jun 23 05:30:57 CEST 2025","","","",""
"","928","add clock in my items","Notification verify","Mon Jun 23 05:30:56 CEST 2025","passed","Mon Jun 23 05:30:56 CEST 2025","","","",""
"","192","inspect panel","Hide and show UI panels","Mon Jun 23 05:30:42 CEST 2025","passed","Mon Jun 23 05:30:42 CEST 2025","","","",""
"","3417","visit dashboard","Notification verify","Mon Jun 23 05:30:52 CEST 2025","passed","Mon Jun 23 05:30:56 CEST 2025","","","",""
"","480","delete dashboard","Camera screen","Mon Jun 23 05:30:11 CEST 2025","passed","Mon Jun 23 05:30:12 CEST 2025","","","",""
"","3380","visit dashboard","Clock element basic flow","Mon Jun 23 05:30:19 CEST 2025","passed","Mon Jun 23 05:30:22 CEST 2025","","","",""
"","178","show version information and verify","Version information","Mon Jun 23 05:30:17 CEST 2025","passed","Mon Jun 23 05:30:17 CEST 2025","","","",""
"","596","save snapshot and open notebook snapshots","Notebook snapshots","Mon Jun 23 05:30:49 CEST 2025","passed","Mon Jun 23 05:30:50 CEST 2025","","","",""
"","255","remove state generator","Telemetry table of state generator","Mon Jun 23 05:31:11 CEST 2025","passed","Mon Jun 23 05:31:11 CEST 2025","","","",""
"","495","search for data in telemetry table","Telemetry table of state generator","Mon Jun 23 05:31:11 CEST 2025","passed","Mon Jun 23 05:31:11 CEST 2025","","","",""
"","570","camera verify","Camera screen","Mon Jun 23 05:30:11 CEST 2025","passed","Mon Jun 23 05:30:11 CEST 2025","","","",""
"","184","notification verify","Notification verify","Mon Jun 23 05:30:57 CEST 2025","passed","Mon Jun 23 05:30:57 CEST 2025","","","",""
"","180","snapshot panel","Hide and show UI panels","Mon Jun 23 05:30:42 CEST 2025","passed","Mon Jun 23 05:30:42 CEST 2025","","","",""
"","473","set real time and start animate","Create modify and export overlay plot JPG file","Mon Jun 23 05:30:31 CEST 2025","passed","Mon Jun 23 05:30:32 CEST 2025","","","",""
"","1110","add display layout","Camera screen","Mon Jun 23 05:30:08 CEST 2025","passed","Mon Jun 23 05:30:09 CEST 2025","","","",""
"","1137","add overlay plot","Create modify and export overlay plot JPG file","Mon Jun 23 05:30:28 CEST 2025","passed","Mon Jun 23 05:30:29 CEST 2025","","","",""
"","1801","add camera","Camera screen","Mon Jun 23 05:30:09 CEST 2025","passed","Mon Jun 23 05:30:11 CEST 2025","","","",""
